epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,5885.83,0.96433,1.49775,0.71108,0.01734,0.99258,0.81114,0.84973,0.89538,0.70355,0.81048,0.84884,0.89428,0.7186,0.81227,1.0276,0.5996,0.01952,0,0.000262086,0.000262086,0.000262086
39,6031.7,0.93692,1.45975,0.68752,0.01691,0.90868,0.80391,0.81728,0.87639,0.67161,0.81051,0.82357,0.88381,0.70387,0.89762,1.04542,0.60456,0.02244,0,0.000242932,0.000242932,0.000242932
40,6174.85,0.94358,1.47492,0.69167,0.01687,0.89143,0.85785,0.8075,0.90324,0.66747,0.85785,0.8075,0.90315,0.71766,0.94754,1.04237,0.5672,0.02452,0,0.00022422,0.00022422,0.00022422
41,6315.36,0.92297,1.43941,0.68179,0.0164,0.86262,0.85625,0.83477,0.90507,0.68204,0.86207,0.84014,0.9127,0.72866,0.93545,1.02518,0.55259,0.0235,0,0.000206,0.000206,0.000206
42,6454.29,0.91391,1.46757,0.67136,0.01626,0.91952,0.83244,0.8453,0.91006,0.69824,0.83244,0.8453,0.90934,0.74358,0.88788,0.98449,0.51834,0.02234,0,0.000188323,0.000188323,0.000188323
43,6601.18,0.91508,1.43209,0.65562,0.01611,0.81343,0.83706,0.83632,0.90064,0.68907,0.83712,0.83559,0.90017,0.72829,0.92068,1.04843,0.55582,0.02346,0,0.000171237,0.000171237,0.000171237
44,6744.44,0.90139,1.39615,0.64138,0.01638,0.80954,0.87033,0.80773,0.90005,0.67954,0.87033,0.80773,0.89915,0.72922,0.90951,1.02108,0.55888,0.02285,0,0.000154789,0.000154789,0.000154789
45,6884.28,0.89321,1.37241,0.63706,0.01611,0.83359,0.84948,0.80678,0.88781,0.67967,0.84948,0.80678,0.8924,0.72464,0.88623,0.97288,0.56647,0.02171,0,0.000139024,0.000139024,0.000139024
46,7023.89,0.90281,1.40365,0.64646,0.01592,0.79704,0.86985,0.80878,0.89966,0.67752,0.869,0.80789,0.89775,0.72413,0.94416,1.03694,0.58257,0.02418,0,0.000123986,0.000123986,0.000123986
47,7165.93,0.88827,1.3804,0.61552,0.01571,0.75442,0.85291,0.81746,0.90624,0.68808,0.85291,0.81746,0.90619,0.73383,0.91206,0.9671,0.54831,0.02271,0,0.000109715,0.000109715,0.000109715
48,7310.52,0.89129,1.39651,0.62874,0.0156,0.81159,0.86669,0.81187,0.89655,0.68241,0.86669,0.81187,0.89521,0.72882,0.8783,0.96169,0.55795,0.02171,0,9.62502e-05,9.62502e-05,9.62502e-05
49,7454.37,0.89068,1.37163,0.61322,0.01572,0.73777,0.85265,0.83268,0.90347,0.68573,0.85265,0.83268,0.90251,0.74205,0.90332,0.97624,0.58065,0.02256,0,8.36293e-05,8.36293e-05,8.36293e-05
50,7598.43,0.88453,1.37492,0.61989,0.01559,0.739,0.82786,0.81,0.89914,0.67637,0.82786,0.81,0.89833,0.72334,0.9108,0.97436,0.57395,0.02306,0,7.18865e-05,7.18865e-05,7.18865e-05
51,7782.59,0.68136,1.17041,0.38149,0.0172,0.48358,0.85369,0.83993,0.90822,0.69756,0.85369,0.83993,0.90647,0.73625,0.87713,1.00379,0.55048,0.02159,0,6.10539e-05,6.10539e-05,6.10539e-05
52,7921.15,0.67262,1.14725,0.37618,0.01701,0.52289,0.87417,0.82815,0.90659,0.69313,0.87417,0.82815,0.90616,0.73809,0.88071,0.98619,0.55122,0.02207,0,5.11614e-05,5.11614e-05,5.11614e-05
53,8054.03,0.68176,1.14395,0.35765,0.01717,0.47037,0.8754,0.8261,0.90633,0.68936,0.8754,0.8261,0.90595,0.73866,0.90191,0.94767,0.54622,0.02233,0,4.2236e-05,4.2236e-05,4.2236e-05
54,8187.27,0.66556,1.13217,0.35871,0.01654,0.49354,0.85513,0.82366,0.90515,0.69325,0.85513,0.82366,0.90511,0.7348,0.88814,1.00655,0.55238,0.02226,0,3.43022e-05,3.43022e-05,3.43022e-05
55,8324.79,0.65885,1.13139,0.34938,0.01652,0.44185,0.85515,0.80814,0.89788,0.68132,0.85515,0.80814,0.89777,0.73075,0.92894,0.98225,0.57044,0.02341,0,2.73816e-05,2.73816e-05,2.73816e-05
56,8459.53,0.66519,1.13907,0.36226,0.01659,0.4783,0.84947,0.80425,0.89657,0.68762,0.84947,0.80425,0.89622,0.73308,0.89807,0.97919,0.55879,0.02235,0,2.14934e-05,2.14934e-05,2.14934e-05
57,8592.48,0.6687,1.13634,0.34182,0.01668,0.43776,0.87991,0.81202,0.90475,0.69738,0.87991,0.81202,0.90454,0.74248,0.88454,0.96974,0.5509,0.02199,0,1.66536e-05,1.66536e-05,1.66536e-05
58,8724.67,0.66059,1.12345,0.33338,0.01649,0.45097,0.8626,0.81691,0.9009,0.691,0.86165,0.81603,0.89975,0.73825,0.89323,0.98942,0.56085,0.02219,0,1.28754e-05,1.28754e-05,1.28754e-05
59,8856.28,0.66082,1.12926,0.32835,0.01678,0.42987,0.87369,0.79113,0.89943,0.69224,0.87269,0.79025,0.89827,0.73682,0.88475,0.97804,0.56004,0.02198,0,1.01693e-05,1.01693e-05,1.01693e-05
60,8986.79,0.66196,1.12414,0.3446,0.01662,0.43418,0.8631,0.80143,0.89735,0.68326,0.8631,0.80143,0.89715,0.73493,0.91422,0.97403,0.5793,0.02297,0,8.5427e-06,8.5427e-06,8.5427e-06
